"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 98","1,133.84","1,090.82","1,145.15","1,074.67","-","3.94%"
"May 98","1,090.82","1,111.75","1,130.52","1,074.39","-","-1.88%"
"Apr 98","1,111.75","1,101.75","1,132.98","1,076.70","-","0.91%"
"Mar 98","1,101.75","1,049.34","1,113.07","1,030.87","-","4.99%"
"Feb 98","1,049.34","980.28","1,051.66","980.28","-","7.04%"
"Jan 98","980.28","970.43","992.65","912.83","-","1.02%"
"Dec 97","970.43","955.40","986.25","924.92","-","1.57%"
"Nov 97","955.40","914.62","964.55","900.61","-","4.46%"
"Oct 97","914.62","947.28","983.12","855.27","-","-3.45%"
"Sep 97","947.28","899.47","960.59","899.47","-","5.32%"
"Aug 97","899.47","954.29","964.17","893.34","-","-5.75%"
"Jul 97","954.31","885.14","957.73","884.54","-","7.81%"
"Jun 97","885.14","848.28","902.09","838.82","-","4.35%"
"May 97","848.28","801.34","851.87","793.21","-","5.86%"
"Apr 97","801.34","757.12","804.13","733.54","-","5.84%"
"Mar 97","757.12","790.82","814.90","756.13","-","-4.26%"
"Feb 97","790.82","786.16","817.68","773.43","-","0.59%"
"Jan 97","786.16","740.74","794.67","729.55","-","6.13%"
"Dec 96","740.74","757.02","761.75","716.69","-","-2.15%"
"Nov 96","757.02","705.27","762.12","701.30","-","7.34%"
"Oct 96","705.27","687.31","714.10","684.44","-","2.61%"
"Sep 96","687.33","651.99","690.88","643.97","-","5.42%"
"Aug 96","651.99","639.95","670.68","639.49","-","1.88%"
"Jul 96","639.95","670.63","675.88","605.88","-","-4.57%"
"Jun 96","670.63","669.12","680.32","658.75","-","0.23%"
"May 96","669.12","654.17","681.10","630.07","-","2.29%"
"Apr 96","654.17","645.50","656.68","624.14","-","1.34%"
"Mar 96","645.50","640.43","656.97","627.63","-","0.79%"
"Feb 96","640.43","636.02","664.23","633.71","-","0.69%"
"Jan 96","636.02","615.93","636.18","597.29","-","3.26%"
"Dec 95","615.93","605.37","622.88","605.05","-","1.74%"
"Nov 95","605.37","581.50","608.69","581.04","-","4.10%"
"Oct 95","581.50","584.41","590.66","571.55","-","-0.50%"
"Sep 95","584.41","561.88","587.61","561.01","-","4.01%"
"Aug 95","561.88","562.06","565.62","553.04","-","-0.03%"
"Jul 95","562.06","544.75","565.40","542.51","-","3.18%"
"Jun 95","544.75","533.40","551.07","526.00","-","2.13%"
"May 95","533.40","514.76","533.41","513.03","-","3.63%"
"Apr 95","514.71","500.70","515.29","500.20","-","2.80%"
"Mar 95","500.71","487.39","508.15","479.70","-","2.73%"
"Feb 95","487.39","470.42","489.19","469.29","-","3.61%"
"Jan 95","470.42","459.21","471.36","457.20","-","2.43%"
"Dec 94","459.27","453.55","462.73","442.88","-","1.23%"
"Nov 94","453.69","472.26","472.26","444.18","-","-3.95%"
"Oct 94","472.35","462.69","474.74","449.27","-","2.08%"
"Sep 94","462.71","475.49","475.49","458.47","-","-2.69%"
"Aug 94","475.49","458.28","477.59","456.08","-","3.76%"
"Jul 94","458.26","444.27","459.33","443.58","-","3.15%"
"Jun 94","444.27","456.50","463.23","439.83","-","-2.68%"
"May 94","456.50","450.91","457.77","440.78","-","1.24%"
"Apr 94","450.91","445.66","452.79","435.86","-","1.15%"
"Mar 94","445.77","467.19","471.09","436.16","-","-4.57%"
"Feb 94","467.14","481.60","482.23","464.26","-","-3.00%"
"Jan 94","481.61","466.51","482.85","464.36","-","3.25%"
"Dec 93","466.45","461.93","471.29","461.45","-","1.01%"
"Nov 93","461.79","467.83","469.11","454.36","-","-1.29%"
"Oct 93","467.83","458.93","471.10","456.40","-","1.94%"
"Sep 93","458.93","463.55","463.80","449.64","-","-1.00%"
"Aug 93","463.56","448.13","463.56","446.94","-","3.44%"
"Jul 93","448.13","450.54","451.15","441.40","-","-0.53%"
"Jun 93","450.53","450.23","455.63","442.50","-","0.08%"
"May 93","450.19","440.19","454.55","436.86","-","2.27%"
"Apr 93","440.19","451.67","452.63","432.30","-","-2.54%"
"Mar 93","451.67","443.38","456.76","441.07","-","1.87%"
"Feb 93","443.38","438.78","450.04","428.25","-","1.05%"
"Jan 93","438.78","435.70","442.66","426.88","-","0.70%"
"Dec 92","435.71","431.35","442.65","428.61","-","1.01%"
"Nov 92","431.35","418.66","431.93","415.58","-","3.03%"
"Oct 92","418.68","417.80","421.16","396.80","-","0.21%"
"Sep 92","417.80","414.03","425.27","412.71","-","0.91%"
"Aug 92","414.03","424.19","425.14","408.30","-","-2.40%"
"Jul 92","424.21","408.20","424.80","407.20","-","3.94%"
"Jun 92","408.14","415.35","417.30","399.92","-","-1.74%"
"May 92","415.35","414.95","418.75","409.85","-","0.10%"
"Apr 92","414.95","403.67","416.28","392.41","-","2.79%"
"Mar 92","403.69","412.68","413.78","401.94","-","-2.18%"
"Feb 92","412.70","408.79","418.08","406.34","-","0.96%"
"Jan 92","408.78","417.03","421.18","408.64","-","-1.99%"
"Dec 91","417.09","375.11","418.32","371.36","-","11.16%"
"Nov 91","375.22","392.46","398.22","371.63","-","-4.39%"
"Oct 91","392.45","387.86","393.81","376.11","-","1.18%"
"Sep 91","387.86","395.43","397.62","382.77","-","-1.91%"
"Aug 91","395.43","387.81","396.82","374.09","-","1.96%"
"Jul 91","387.81","371.18","387.81","370.92","-","4.49%"
"Jun 91","371.16","389.81","389.81","367.98","-","-4.79%"
"May 91","389.83","375.35","389.85","365.83","-","3.86%"
"Apr 91","375.34","375.22","391.26","370.27","-","0.03%"
"Mar 91","375.22","367.07","379.66","363.73","-","2.22%"
"Feb 91","367.07","343.91","370.96","340.37","-","6.73%"
"Jan 91","343.93","330.20","343.93","309.35","-","4.15%"
"Dec 90","330.22","322.23","333.98","321.97","-","2.48%"
"Nov 90","322.22","303.99","323.02","301.61","-","5.99%"
"Oct 90","304.00","306.10","319.69","294.51","-","-0.67%"
